id,product,volume,article_fora,article_atb,article_novus
1,"Молоко Яготинське 2.6% п/е, 900г",900г,548446,100724,177165
2,"Сир Яготинський 5% пакет, 350г",350г,802382,NULL,343748
3,"банани, 1кг",1кг,32485,"29 банан",3963
4,"Стевія Green Leaf, 300г",300г,834426,139816,NULL
5,"Фета / Фелата Premialle, 230г",230г,919221,175774,357318
6,"Яйця курячі С1/С0, 1шт",1шт,64519,,NULL
7,"Картопля біла, 1кг",1кг,531296,16088,6587
8,"Помідори коктейльні, 1кг",1кг,531295,NULL,149060
9,"Серветки паперові Ruta Kids, 155шт",155шт,675404,NULL,253544
10,"Молоко Яготинське 2.6% п/бут, 870г",870г,866829,172073,177166
11,"Чай зелений листовий Hyleys, 100г",100г,NULL,63688,NULL
12,"Чай зелений з жасмином крупнолистовий Hyleys, 100г",100г,NULL,NULL,37704
13,"Рис пропарений Art Foods Asia, 1кг",1кг,859722,NULL,NULL
14,"Рис шліфований круглозернистий «Премія», 1кг",1кг,856902,NULL,NULL
15,"Рис пропаренный шліфований Хуторок,  800г",800г,NULL,NULL,250045
16,"Гречка Розумний вибір, 1кг",1кг,NULL,63024,NULL
17,"Гречка Marka Promo, 1кг",1кг,NULL,NULL,190170
18,"Хлібці рисові з морською сіллю Жменька, 100г",100г,608789,NULL,315241
19,"Хлібці рисові з насінням гарбуза Жменька, 100г",100г,650661,NULL,289631
20,"Хлібці рисові з насінням льону Жменька, 100г",100г,797235,NULL,289632
21,"Хлібці рисові Жменька, 100г",100г,608792,NULL,NULL
22,"Хлібці рисові Tasty Style, 110г",110г,NULL,158019,NULL
23,"Мандарин Клементин, кг",1кг,305597,95731,NULL
24,"Сметана Молокія 10% стакан, 300г",300г,917095,NULL,387679
25,"Сметана President 10% стакан, 325г",325г,NULL,132873,374436
26,"Сметана Селянська 10% стакан, 350г",350г,820142,NULL,NULL
27,"Red Bull, 0.25л",0.25л,229392,39529,9313
28,"Red Bull, 0.355л",0.355л,NULL,171300,9311
29,"Морква, кг",1кг,34650,22168,3978
30,"Галети Здраво, 300г",300г,699606,NULL,NULL
31,"Гриби печерицi вагові, 100г",100г,32571,NULL,NULL
32,"Гриби печерицi вагові, 1кг",1кг,NULL,"363 гриби",49609
33,"Салат Пучок-Свіжачок у торфі, 1шт",1шт,507133,NULL,99122
34,"Снікерс Snickers Super, 112.5г",112.5г,664167,112575,247270
35,"Сир Яготинський 9% пакет, 350г",350г,856423,NULL,374163
36,"Помідори вагові, 1кг",1кг,32589,1580,50014
37,"Помідори сливка вагові, 1кг",1кг,67736,NULL,50015
38,"Молоко Галичина 2.5% п/бут, 870г",870г,682859,NULL,274578
